"";"IDNummer";"Produktionsdatum";"Herstellernummer";"Werksnummer";"Fehlerhaft"
"1";"K7-114-1142-1";2008-11-12;114;1142;0
"2";"K7-114-1142-2";2008-11-12;114;1142;0
"3";"K7-114-1142-3";2008-11-13;114;1142;0
"4";"K7-114-1142-4";2008-11-13;114;1142;0
"5";"K7-114-1142-5";2008-11-13;114;1142;0
"6";"K7-114-1142-6";2008-11-13;114;1142;0
"7";"K7-114-1142-7";2008-11-13;114;1142;0
"8";"K7-114-1142-8";2008-11-13;114;1142;0
"9";"K7-114-1142-9";2008-11-13;114;1142;0
"10";"K7-114-1142-10";2008-11-13;114;1142;0
"11";"K7-114-1142-11";2008-11-13;114;1142;0
"12";"K7-114-1142-12";2008-11-13;114;1142;0
"13";"K7-114-1142-13";2008-11-13;114;1142;0
"14";"K7-114-1142-14";2008-11-13;114;1142;0
"15";"K7-114-1142-15";2008-11-13;114;1142;0
"16";"K7-114-1142-16";2008-11-13;114;1142;0
"17";"K7-114-1142-17";2008-11-13;114;1142;0
"18";"K7-114-1142-18";2008-11-13;114;1142;0
"19";"K7-114-1142-19";2008-11-13;114;1142;0
"20";"K7-114-1142-20";2008-11-13;114;1142;0
"21";"K7-114-1142-21";2008-11-13;114;1142;0
"22";"K7-114-1142-22";2008-11-13;114;1142;0
"23";"K7-114-1142-23";2008-11-13;114;1142;0
"24";"K7-114-1142-24";2008-11-13;114;1142;0
"25";"K7-114-1142-25";2008-11-13;114;1142;0
"26";"K7-114-1142-26";2008-11-13;114;1142;0
"27";"K7-114-1142-27";2008-11-13;114;1142;0
"28";"K7-114-1142-28";2008-11-13;114;1142;0
"29";"K7-114-1142-29";2008-11-13;114;1142;0
"30";"K7-114-1142-30";2008-11-13;114;1142;0
"31";"K7-114-1142-31";2008-11-13;114;1142;0
"32";"K7-114-1142-32";2008-11-13;114;1142;0
"33";"K7-114-1142-33";2008-11-14;114;1142;0
"34";"K7-114-1142-34";2008-11-14;114;1142;0
"35";"K7-114-1142-35";2008-11-14;114;1142;0
"36";"K7-114-1142-36";2008-11-14;114;1142;0
"37";"K7-114-1142-37";2008-11-14;114;1142;0
"38";"K7-114-1142-38";2008-11-14;114;1142;0
"39";"K7-114-1142-39";2008-11-14;114;1142;0
"40";"K7-114-1142-40";2008-11-14;114;1142;0
"41";"K7-114-1142-41";2008-11-14;114;1142;0
"42";"K7-114-1142-42";2008-11-14;114;1142;0
"43";"K7-114-1142-43";2008-11-14;114;1142;0
"44";"K7-114-1142-44";2008-11-14;114;1142;0
"45";"K7-114-1142-45";2008-11-14;114;1142;0
"46";"K7-114-1142-46";2008-11-14;114;1142;0
"47";"K7-114-1142-47";2008-11-14;114;1142;0
"48";"K7-114-1142-48";2008-11-14;114;1142;0
"49";"K7-114-1142-49";2008-11-14;114;1142;0
